Município	População	Gentílico
Nova Erechim	5.155	Erechinense
Nova Itaberaba	4.536	Nova-itaberabense
Nova Trento	13.727	Trentino
Nova Veneza	13.664	Nova-veneziano
Novo Horizonte	2.643	Horizontino
Orleans	23.661	Orleanense
Otacílio Costa	17.312	Otaciliense
Ouro	7.032	Ourense
Ouro Verde	2.181	Ouro-verdense
Paial	1.927	Paialense
Painel	2.215	Painelense
Palhoça	222.598	Palhocense
Palma Sola	7.605	Palmense
Palmeira	2.561	Palmeirense
Palmitos	15.626	Palmitense
Papanduva	19.150	Papanduvense
Paraíso	4.267	Paraisense
Passo de Torres	12.897	Passotorrense
Passos Maia	4.034	Passos-maiense
Paulo Lopes	9.063	Paulense
Pedras Grandes	4.245	Pedras-grandense
Penha	33.663	Penhense
Peritiba	2.992	Peritibano
Pescaria Brava	10.190	FALSO
Petrolândia	6.716	Petrolandense
Pinhalzinho	21.972	Pinhalense
Pinheiro Preto	3.473	Pinheirense
Piratuba	5.769	Piratubense
Planalto Alegre	2.946	Planalto-alegrense
Pomerode	34.289	Pomerodense
Ponte Alta	4.437	Ponte-altense
Ponte Alta do Norte	3.210	Ponte-altense-do-nortense
Ponte Serrada	10.649	Ponte-serradense
Porto Belo	27.688	Portobelense
Porto União	32.970	Portuniense
Pouso Redondo	17.123	Pouso-redondense
Praia Grande	8.270	Praia-grandense
Presidente Castello Branco	1.689	Presidente-castello-brancano
Presidente Getúlio	20.010	Presidente-getuliense
Presidente Nereu	2.301	Presidente-nereuense
Princesa	2.964	Princesense
Quilombo	11.022	Quilombense
Rancho Queimado	3.279	Rancho-queimadense
Rio das Antas	6.253	Rio-antense
Rio do Campo	6.452	Rio-campense
Rio do Oeste	7.747	Rio-oestense
Rio do Sul	72.587	Rio-sulense
Rio dos Cedros	10.865	Rio-cedrense
Rio Fortuna	4.847	Rio-fortunense
Rio Negrinho	39.261	Rio-negrinhense
Rio Rufino	2.397	Rio-rufinense
Riqueza	4.768	Riquezense
Rodeio	12.757	Rodeense
Romelândia	4.823	Romelandense
Salete	7.489	Saletense
Saltinho	3.632	Saltinhense
Salto Veloso	4.390	Saltovelosense
Sangão	12.882	Sangaonense
Santa Cecília	15.546	Santaceciliano
Santa Helena	2.425	Santahelenense
Santa Rosa de Lima	2.088	Santa-rosense
Santa Rosa do Sul	9.792	Santa-rosense
Santa Terezinha	8.066	Santa-terezinhense
Santa Terezinha do Progresso	2.576	Santa-terezinhense-do-progressense
Santiago do Sul	1.651	Santagense
Santo Amaro da Imperatriz	27.272	Santo-amarense
São Bento do Sul	83.277	São-bentense
São Bernardino	2.684	São-bernardinense
São Bonifácio	2.946	São-bonifacense
São Carlos	10.282	São-carlense
São Cristóvão do Sul	6.084	FALSO
São Domingos	9.226	São-dominguense
São Francisco do Sul	52.674	São-franciscano
São João Batista	32.687	São-joanense
São João do Itaperiú	4.463	São-joanense
São João do Oeste	6.295	São-joanense
São João do Sul	8.668	São-joanense
São Joaquim	25.939	São-joaquinense
São José	270.299	São-joseense
São José do Cedro	14.167	São-joseense
São José do Cerrito	8.708	São-joseense
São Lourenço do Oeste	24.791	São-lourencense
São Ludgero	13.509	São-ludgerense
São Martinho	3.405	São-martinhense
São Miguel da Boa Vista	1.781	São-miguelense
São Miguel do Oeste	44.330	São-miguelense
São Pedro de Alcântara	5.776	São-pedrense
Saudades	10.265	Saudadense
Schroeder	20.061	Schroedense
Seara	18.620	Searano
Serra Alta	3.303	Serra-altense
Siderópolis	13.714	Sideropolitano
Sombrio	29.991	Sombriense
Sul Brasil	2.832	Sulbrasilense
Taió	18.310	Taiense
Tangará	8.143	Tangaraense
Tigrinhos	2.329	Tigrinhense
Tijucas	51.592	Tijuquense
Timbé do Sul	5.386	Timbeense
Timbó	46.099	Timboense
Timbó Grande	7.342	Timbo-grandense
Três Barras	19.746	Tresbarrense
Treviso	3.782	Trevisano
Treze de Maio	7.362	Trezemaiense
Treze Tílias	8.787	Trezilitrense
Trombudo Central	7.274	Trombudense
Tubarão	110.088	Tubaronense
Tunápolis	4.916	Tunapolitano
Turvo	13.043	Turvense
União do Oeste	2.774	Uniao-oestense
Urubici	10.834	Urubiciense
Urupema	2.656	Urupemense
Urussanga	20.919	Urussanguense
Vargeão	3.634	Vargeonense
Vargem	2.627	Vargense
Vargem Bonita	4.576	Vargem-bonitense
Vidal Ramos	6.189	Vidralense
Videira	55.466	Videirense
Vitor Meireles	5.370	Vitor-meirense
Witmarsum	4.255	Witmarsumense
Xanxerê	51.607	Xanxerense
Xavantina	3.653	Xavantinense
Xaxim	31.918	Xaxinense
Zortéa	3.930	Zorteense
